test_name,table_name,test_type,layer,run_date,mandate,column,total_score,rows_checked,passing_rows,failing_rows
volumn too low (<10000),prices,outside_of_rules,silver,2025-10-02,global_required,volume,0.6562295324417401,94662,62120,32542
,prices,missing,silver,2025-10-02,global_required,low,0.960765671547189,94662,90948,3714
,prices,missing,silver,2025-10-02,global_required,high,0.9608079271513384,94662,90952,3710
high < low,prices,outside_of_rules,silver,2025-10-02,global_required,high,2.1127802074750163E-5,94662,2,94660
,prices,missing,silver,2025-10-02,global_required,close,0.9770340791447466,94662,92488,2174
,prices,type_mismatch,silver,2025-10-02,global_required,close,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-02,global_required,volume,1.0,94662,94662,0
low > high,prices,outside_of_rules,silver,2025-10-02,global_required,low,2.1127802074750163E-5,94662,2,94660
,prices,type_mismatch,silver,2025-10-02,global_required,symbol,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-02,global_required,low,1.0,94662,94662,0
,prices,missing,silver,2025-10-02,global_required,symbol,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-02,global_required,high,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-02,global_required,date,1.0,94662,94662,0
,prices,missing,silver,2025-10-02,global_required,date,1.0,94662,94662,0
,prices,duplicated,silver,2025-10-02,global_required,date,6.54961864317255E-4,94662,62,94600
,prices,duplicated,silver,2025-10-02,global_required,symbol,0.022025733662927045,94662,2085,92577
,summary_profile,missing,silver,2025-10-02,global_required,country,0.7318944844124701,4170,3052,1118
